Non symb;Nom court - FR;Nom court - NL;Nom long - FR;Nom long - NL;GPS_LATITUDE;GPS_LONGITUDE
BUDA;BUDA;BUDA;BUDA;BUDA;50,908281;4,417053
FGN;BUGGENHOUT;BUGGENHOUT;BUGGENHOUT;BUGGENHOUT;51,016228;4,200575
FGU;BUIZINGEN;BUIZINGEN;BUIZINGEN;BUIZINGEN;50,751581;4,258561
FRU;BURST;BURST;BURST;BURST;50,907103;3,920911
BUZET;BUZET;BUZET;BUZET;BUZET;50,555216;4,357379
FCA;CALLENELLE;CALLENELLE;CALLENELLE;CALLENELLE;50,527192;3,526182
FUC;CAMBRON-CAST;CAMBRON-CAST;CAMBRON-CASTEAU;CAMBRON-CASTEAU;50,587131;3,874183
FRC;CAMPINAIRE;CAMPINAIRE;LE CAMPINAIRE;LE CAMPINAIRE;50,429587;4,552951
MCL;CARLSBOURG;CARLSBOURG;CARLSBOURG;CARLSBOURG;49,903539;5,097419
LNS;CARNIERES;CARNIERES;CARNIERES;CARNIERES;50,4477;4,264386
MCM;CEROUX-MOUST;CEROUX-MOUST;CEROUX-MOUSTY;CEROUX-MOUSTY;50,659325;4,568547
CHAPD;CHAP-DIEU;CHAP-DIEU;CHAPELLE-DIEU;CHAPELLE-DIEU;50,557902;4,698662
CHAPO;CHAPOIS;CHAPOIS;CHAPOIS;CHAPOIS;50,262372;5,124278
FCRDP;CHARL-DRY PT;CHARL-DRY PT;CHARLEROI-DRY PORT;CHARLEROI-DRY PORT;50,399478;4,494877
GCRA;CHARLEROI-AT;CHARLEROI-AT;CHARLEROI-A.T.;CHARLEROI-A.T.;50,400574;4,458827
FCRO;CHARL-OUEST;CHARL-OUEST;CHARLEROI-OUEST;CHARLEROI-OUEST;50,409741;4,435644
FCR;CHARL-SUD;CHARL-SUD;CHARLEROI-SUD;CHARLEROI-SUD;50,404713;4,438567
MC;CHASTRE;CHASTRE;CHASTRE;CHASTRE;50,607464;4,649833
CHATS;CHAT-DE-SEIL;CHAT-DE-SEIL;CHATEAU-DE-SEILLES;CHATEAU-DE-SEILLES;50,49721;5,081753
FCL;CHATELET;CHATELET;CHATELET;CHATELET;50,410103;4,52186
FCLC;CHATELET-C;CHATELET-C;CHATELET-FAISCEAU C;CHATELET-FAISCEAU C;50,4212;4,537997
FCLCH;CHATELET-CW;CHATELET-CW;CHATELET-CARWASH;CHATELET-CARWASH;50,418458;4,533201
FCLF;CHATELET-F;CHATELET-F;CHATELET-FORMATION;CHATELET-FORMATION;50,419556;4,530827
FCH;CHENEE;CHENEE;CHENEE;CHENEE;50,608327;5,61484
FEA;CHERATTE;CHERATTE;CHERATTE;CHERATTE;50,682881;5,668856
CHERT;CHERTAL;CHERTAL;CHERTAL;CHERTAL;50,685447;5,656972
LC;CINEY;CINEY;CINEY;CINEY;50,292022;5,090581
FEQ;CLABECQ;CLABECQ;CLABECQ;CLABECQ;50,694783;4,213796
FEQM;CLABECQ-M;CLABECQ-M;CLABECQ-MARCHANDISES;CLABECQ-MARCHANDISES;50,676242;4,221411
COMBI;COMBINANT;COMBINANT;ANTWERPEN-D.S.-COMBINANT;ANTWERPEN-D.S.-COMBINANT;51,371506;4,284711
MCT;COMBL-TOUR;COMBL-TOUR;COMBLAIN-LA-TOUR;COMBLAIN-LA-TOUR;50,45663;5,567193
FOI;COMINES;KOMEN;COMINES;KOMEN;50,77225;2,999117
COO;COO;COO;COO;COO;50,391311;5,880883
LCL;COUILLET;COUILLET;COUILLET;COUILLET;50,392727;4,469343
LCCM;COURC-MOTTE;COURC-MOTTE;COURCELLES-MOTTE;COURCELLES-MOTTE;50,462014;4,400528
LUH;COUR-HEURE;COUR-HEURE;COUR-SUR-HEURE;COUR-SUR-HEURE;50,300889;4,392258
MRR;COURRIERE;COURRIERE;COURRIERE;COURRIERE;50,387727;4,995732
LCN;COURT-ST-ET;COURT-ST-ET;COURT-SAINT-ETIENNE;COURT-SAINT-ETIENNE;50,645566;4,565819
LCV;COUVIN;COUVIN;COUVIN;COUVIN;50,057871;4,492653
MCR;CROIX-ROUGE;CROIX-ROUGE;CROIX-ROUGE;CROIX-ROUGE;49,628029;5,564343
LCS;CUESMES;CUESMES;CUESMES;CUESMES;50,434627;3,934852
LCSA;CUESMES-AC;CUESMES-AC;CUESMES-A.C.;CUESMES-A.C.;50,443385;3,934116
FBCM;CUREGHEM-CDS;KUREGEM-DSP;CUREGHEM-CUL DE SAC;KUREGEM-DOODSPOOR;50,83406;4,32118
DARSE;DARSEN;DARSEN;GENT-ZEEHAVEN-DARSEN;GENT-ZEEHAVEN-DARSEN;51,084356;3,744594
MDT;DAVE-ST-MART;DAVE-ST-MART;DAVE-SAINT-MARTIN;DAVE-SAINT-MARTIN;50,429042;4,884233
